Level,Chain/Interface,Metric,Value
Complex,Overall,lDDT,0.946922779083252
Chain,Chain A,lDDT,0.9589892625808716
Chain,Chain B,lDDT,0.9442877173423767
Chain,Chain C,lDDT,0.9349607229232788
Interface,"A,B",lDDT,0.9218670129776001
Interface,"A,B",DockQ,0.9339033772545656
Interface,"A,B",F1,0.890625
Interface,"A,B",iRMSD,0.4838435358885477
Interface,"A,B",LRMSD,0.8013956072136579
Interface,"A,B",fnat,0.9047619047619048
Interface,"A,C",lDDT,0.9204974174499512
Interface,"A,C",DockQ,0.9529209204185786
Interface,"A,C",F1,0.9292929292929293
Interface,"A,C",iRMSD,0.44414018450712817
Interface,"A,C",LRMSD,1.1818550282644702
Interface,"A,C",fnat,0.9583333333333334
Interface,"B,C",lDDT,0.9314632415771484
Interface,"B,C",DockQ,0.9094042996653791
Interface,"B,C",F1,0.9866666666666667
Interface,"B,C",iRMSD,0.8728130434992307
Interface,"B,C",LRMSD,1.1781037910800967
Interface,"B,C",fnat,1.0
